SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.4900, 49, -0.00419987, 0.00377087, -0.72762418, -0.44198707, 0.43857202, 25.56016922, -178.01812744, -47.32534409, -18.00643158, -3.56594253, 6.51845741, 142.88441467, 0.31591594, 0.06375755, 0.01136262, -0.94657445, 0.11771055, 0.05820264, -0.26397794, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5000, 50, -0.02653183, 0.00589539, -0.74233645, 0.82185096, -1.23541617, 24.15353775, -177.63812256, -47.38380432, -18.38643646, -3.53009701, 6.52107477, 143.12780762, 0.31392345, 0.06365668, 0.01119446, -0.94724584, 0.14004076, 0.05551566, -0.24930081, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5100, 51, -0.01927857, 0.01000861, -0.75028360, 1.50209224, -1.63661683, 22.48196983, -178.36889648, -47.82227325, -18.18181801, -3.48930931, 6.51850319, 143.35467529, 0.31207123, 0.06350207, 0.01099015, -0.94787043, 0.13285363, 0.05072324, -0.24138795, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5200, 52, -0.01540630, 0.01359083, -0.77453613, 2.32965279, -2.78139782, 20.88023949, -178.54428101, -48.61151505, -16.54487038, -3.43109727, 6.46364832, 143.57789612, 0.31027853, 0.06286941, 0.01078207, -0.94850332, 0.12861264, 0.04632397, -0.21722710, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5300, 53, -0.01690107, 0.01625106, -0.78654760, 2.73760915, -4.60247898, 19.05646515, -178.89506531, -48.78690338, -16.51563835, -3.38191414, 6.42902994, 143.77207947, 0.30871144, 0.06243216, 0.01057548, -0.94904572, 0.12911983, 0.04268729, -0.20538649, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5400, 54, -0.01385967, 0.02020817, -0.80178684, 3.75601840, -6.54944134, 16.80721474, -178.89506531, -48.78690338, -16.51563835, -3.32509565, 6.37348223, 143.94476318, 0.30733353, 0.06180399, 0.01034922, -0.94953632, 0.12525156, 0.03780774, -0.19029477, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5500, 55, -0.01361294, 0.02543049, -0.81190097, 4.45367193, -7.96342182, 14.81618118, -178.71966553, -48.81613541, -17.48026848, -3.26361775, 6.30249691, 144.09819031, 0.30612230, 0.06103800, 0.01011380, -0.94997966, 0.12386487, 0.03156230, -0.18036720, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5600, 56, -0.02203027, 0.02950975, -0.81693274, 5.49066353, -8.84581280, 12.69528961, -178.89506531, -49.34229660, -17.65565681, -3.19425440, 6.22133303, 144.23071289, 0.30509099, 0.06016916, 0.00982727, -0.95036978, 0.13092545, 0.02634396, -0.17555007, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5700, 57, -0.03959395, 0.03008934, -0.82751042, 6.08890915, -9.17979336, 10.57178688, -181.93510437, -50.80385971, -16.80795097, -3.11385918, 6.07438946, 144.36019897, 0.30411327, 0.05872668, 0.00962173, -0.95077533, 0.14676771, 0.02449767, -0.16522984, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5800, 58, -0.04480724, 0.02873635, -0.85853851, 6.51436567, -9.98828316, 9.03233910, -178.63197327, -50.07307816, -16.72025681, -3.03862357, 5.97950077, 144.45626831, 0.30338866, 0.05773260, 0.00929997, -0.95107085, 0.14962102, 0.02447235, -0.13452876, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5900, 59, -0.05150712, 0.03655882, -0.89763731, 6.55494165, -10.53067875, 7.64079332, -178.63197327, -50.07307816, -16.72025681, -2.96457481, 5.87833881, 144.53851318, 0.30277881, 0.05669121, 0.00899621, -0.95133084, 0.15458697, 0.01535549, -0.09567999, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6000, 60, -0.03676055, 0.03786069, -0.94008732, 6.11234188, -11.66532326, 5.45332146, -178.95352173, -50.39462280, -16.51563835, -2.89728403, 5.76462793, 144.59925842, 0.30234697, 0.05556549, 0.00876995, -0.95153666, 0.13798808, 0.01285171, -0.05348244, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6100, 61, -0.02684845, 0.04454708, -0.98203135, 5.07182932, -14.04643250, 2.71791363, -179.39198303, -50.77462769, -17.68488693, -2.84315205, 5.62570143, 144.63359070, 0.30213490, 0.05426731, 0.00870618, -0.95167953, 0.12581238, 0.00514057, -0.01181811, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6200, 62, -0.01962121, 0.05040410, -1.01787078, 3.74058318, -15.62802315, 0.31631139, -179.45045471, -50.77462769, -17.36334419, -2.80827689, 5.37345076, 144.67413330, 0.30189800, 0.05207868, 0.00910512, -0.95187318, 0.11555965, -0.00145841, 0.02368864, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6300, 63, -0.02096587, 0.05383795, -1.03570962, 2.28697658, -15.86239052, -2.03708649, -181.20433044, -52.11926270, -16.98333740, -2.78657079, 5.21402359, 144.66146851, 0.30206475, 0.05069912, 0.00934226, -0.95189244, 0.11288548, -0.00532012, 0.04112627, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6400, 64, -0.02327978, 0.05930071, -1.05346406, 0.57669663, -15.27929020, -4.03902388, -181.20433044, -52.11926270, -16.98333740, -2.78375816, 5.05944872, 144.62841797, 0.30239013, 0.04941135, 0.00971493, -0.95185322, 0.11246228, -0.01093645, 0.05862397, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6500, 65, -0.02295821, 0.06675588, -1.07188928, -1.24404502, -14.25270271, -5.96058512, -180.06430054, -51.35925293, -17.01256943, -2.80078363, 4.91418839, 144.57562256, 0.30286756, 0.04825518, 0.01022004, -0.95175540, 0.10954994, -0.01821568, 0.07682894, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6600, 66, -0.01846261, 0.07217271, -1.09039235, -2.98234463, -13.31119633, -7.44807482, -181.73048401, -51.18386459, -17.77258110, -2.83635712, 4.77757502, 144.50753784, 0.30346152, 0.04722174, 0.01085089, -0.95161104, 0.10263031, -0.02311354, 0.09514946, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6700, 67, -0.00789106, 0.08009278, -1.11422026, -3.87245488, -12.12966537, -7.95762968, -184.68284607, -52.61619186, -18.00643158, -2.89216232, 4.61466837, 144.44642639, 0.30399781, 0.04602381, 0.01172399, -0.95148814, 0.08962835, -0.03024478, 0.11881419, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6800, 68, 0.00643449, 0.08746803, -1.13137650, -3.85421991, -11.17025471, -7.67448902, -180.61970520, -52.11926270, -17.45103836, -2.93636155, 4.49920797, 144.37522888, 0.30460799, 0.04519067, 0.01237116, -0.95132476, 0.07274908, -0.03668437, 0.13581111, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6900, 69, 0.01347867, 0.08842780, -1.15031862, -3.45816183, -10.31416798, -7.11658144, -180.61970520, -52.11926270, -17.45103836, -2.97605586, 4.39253378, 144.30926514, 0.30517381, 0.04441862, 0.01296049, -0.95117199, 0.06379757, -0.03691577, 0.15464059, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.7000, 70, 0.01407444, 0.08096924, -1.16069853, -3.36545944, -8.81976128, -6.43788338, -181.14585876, -52.49926758, -16.22332573, -3.01424623, 4.30109262, 144.24942017, 0.30568501, 0.04376885, 0.01349967, -0.95103037, 0.06150112, -0.02878728, 0.16492489, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.7100, 71, -0.00125976, 0.07811031, -1.16757417, -3.78953481, -7.25687838, -5.91168642, -180.64892578, -51.38848114, -17.24641991, -3.05625463, 4.22549629, 144.19407654, 0.30615246, 0.04326069, 0.01403032, -0.95089561, 0.07541595, -0.02522896, 0.17173067, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.7200, 72, -0.02792324, 0.07719825, -1.18562675, -4.84273624, -5.77192497, -6.09925175, -180.53201294, -52.64542389, -15.72639561, -3.11410999, 4.12012291, 144.15014648, 0.30652925, 0.04254708, 0.01477734, -0.95079505, 0.10073964, -0.02345774, 0.18973057, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.7300, 73, -0.06037316, 0.07497858, -1.20783138, -7.38646555, -5.92504692, -6.76828957, -185.12130737, -53.63928604, -16.10640144, -3.19257331, 4.05724192, 144.08563232, 0.30705568, 0.04224432, 0.01557383, -0.95062596, 0.13155198, -0.01998646, 0.21188498, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.7400, 74, -0.07213341, 0.07072184, -1.23792922, -11.20723248, -5.23789930, -8.40608406, -182.34434509, -52.70388794, -16.13563347, -3.31034613, 4.00018167, 144.00448608, 0.30770436, 0.04209866, 0.01667487, -0.95040405, 0.14227951, -0.01395194, 0.24200946, 0.00000000, 0.00000000, 0.00000000, 0.00000000
